AirportID,Year,Month,Day,Time,TimeZone,SkyCondition,Visibility,WeatherType,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,ValueForWindCharacter,StationPressure,PressureTendency,PressureChange,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
14843,2013,4,1,56,-4,FEW018 SCT044 BKN070,10,-RA,76,24.4,74,23.3,73,22.8,90,13,80, ,30.06, , ,30.06,AA,  T,30.07
14843,2013,4,1,156,-4,FEW037 SCT070,10, ,76,24.4,73,22.5,71,21.7,85,10,90, ,30.05,6,17,30.05,AA, ,30.06
14843,2013,4,1,256,-4,FEW037 SCT070,10, ,76,24.4,73,22.5,71,21.7,85,9,100, ,30.03, , ,30.03,AA, ,30.04
14843,2013,4,1,356,-4,FEW025 SCT070,10, ,76,24.4,72,22.2,70,21.1,82,9,100, ,30.02, , ,30.03,AA, ,30.03
14843,2013,4,1,456,-4,FEW025,10, ,76,24.4,72,22.2,70,21.1,82,7,110, ,30.03,5,4,30.04,AA, ,30.04
14843,2013,4,1,556,-4,FEW025 SCT080,10, ,76,24.4,71,21.8,69,20.6,79,7,100, ,30.04, , ,30.05,AA, ,30.05
14843,2013,4,1,656,-4,FEW028 BKN080,10, ,77,25,71,21.7,68,20,74,9,110, ,30.07, , ,30.07,AA, ,30.08
14843,2013,4,1,756,-4,FEW028 BKN080,10, ,79,26.1,72,22.4,69,20.6,72,13,100, ,30.09,3,20,30.1,AA, ,30.1
14843,2013,4,1,856,-4,FEW030 BKN080,10, ,82,27.8,73,22.9,69,20.6,65,14,100,21,30.11, , ,30.11,AA, ,30.12
14843,2013,4,1,956,-4,SCT035 BKN090,10, ,83,28.3,74,23,69,20.6,63,16,90,23,30.11, , ,30.12,AA, ,30.12
14843,2013,4,1,1056,-4,SCT035 BKN090,10, ,84,28.9,74,23.5,70,21.1,63,17,80,24,30.12,1,8,30.12,AA, ,30.13
14843,2013,4,1,1156,-4,FEW026 BKN090,10, ,84,28.9,74,23.5,70,21.1,63,16,80,25,30.09, , ,30.1,AA, ,30.1
14843,2013,4,1,1256,-4,FEW028 BKN090,10, ,86,30,75,23.9,70,21.1,59,16,80,25,30.07, , ,30.08,AA, ,30.08
14843,2013,4,1,1356,-4,FEW040 BKN090,10, ,86,30,76,24.2,71,21.7,61,20,80,25,30.05,8,23,30.05,AA, ,30.06
14843,2013,4,1,1456,-4,FEW033 SCT042 SCT120,10, ,86,30,75,23.9,70,21.1,59,18,70,25,30.03, , ,30.03,AA, ,30.04
